augmentation	clean	blur	dark	rotate	noise
none	0.9283154121863799	0.8960573476702509	0.910394265232975	0.7634408602150538	0.899641577060932
rotation	0.9247311827956989	0.910394265232975	0.899641577060932	0.6738351254480287	0.9068100358422939
crop	0.9175627240143369	0.9139784946236559	0.921146953405018	0.7634408602150538	0.9032258064516129
color	0.910394265232975	0.8853046594982079	0.9032258064516129	0.7204301075268817	0.8888888888888888
cutout	0.9068100358422939	0.910394265232975	0.8817204301075269	0.6379928315412187	0.9068100358422939
